Attribute XML Name,Attribute Name,Definition,,
percentageOfRecycledMaterial,Recycled Material Content Value-Percentage Of Recycled Material (#3) (Optional),"Corresponding percentage of the recycled material used to create the
item. Example: 90%; 80% (Please enter the value)",,
powerType,Power Type (Optional),"Provides information on the exact type of power used by the item.
Example: Electric; Batteries (Please enter text with 4000 character max)",,
productAttributeName,Additional Product Attribute-Product Attribute Name (#3) (Optional),"A name of a single attribute for the additional detail name-value
pair. Example: isCFLLightBulb (Please enter text with 100 character max)",,
productAttributeValue,Additional Product Attribute-Product Attribute Value (#3) (Optional),"A value of a single attribute for the additional detail name-value
pair. Example: true (Please enter text with 4000 character max)",,
productId,Product Identifier-Product Id (#3) (Optional),Alphanumeric ID that uniquely identifies the product. Example: X12345 (Please enter text with 14 character max),,
productIdType,Product Identifier-Product Id Type (#3) (Optional),"Type of unique identifier used in the ""Product ID"" field. Example:
UPC; GTIN; ISBN; ISSN; EAN (Please select a value from the drop-down in the cell)",,
productName,Product Name *,"Title of the product to be displayed on the product details page.
Brand + Category + Defining Quality + Item Name + Pack Count if
applicable. Example: George Girls' Short-Sleeve Polo; Hanes Men's
V-Neck Tees, 3-Pack (Please enter text with 200 character max)",,
productTaxCode,Product Tax Code *,Code used to identify tax properties of the product. (Please enter text with 10 character max),,
prop65WarningText,Prop65Warning Text (Optional),"There is more than one variation of the Proposition 65 text; we need
the actual text in order to determine the variation Example: WARNING:
This product contains chemicals known to the State of California to
cause cancer andbirth defects or other reproductive harm. (Please enter text with 4000 character max)",,
recommendedLocation,Recommended Locations-Recommended Location (Optional),"The primary location recommended for the item's use. Example: Indoor;
Outdoor; Vehicle (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)",,
recommendedRoom,Recommended Rooms-Recommended Room (Optional),"The rooms recommended for the item's use. Example: Family Room; Home
Office; Kitchen; Dining Room (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)",,
recommendedSurface,Recommended Surfaces-Recommended Surface (Optional),"Example: Wood; Concrete; Vinyl (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)",,
recycledMaterial,Recycled Material Content Value-Recycled Material (#3) (Optional),"Type of recycled material used to create the item. Example: Bamboo;
Cotton (Please enter text with 4000 character max)",,
scent,Scent (Optional),Descriptive term for fragrance. Example: Vanilla; Geranium; Rose (Please enter text with 4000 character max),,
shape,Shape (Optional),"Physical shape of the item. Example: Aviator; Cateye; Horned; Oval;
Rectangle; Round; Square; Wayfarer (Please enter text with 4000 character max)",,
shelfDescription,Shelf Description *,"Abbreviated list of key item features in no more than three bullet
points. This is viewable in search, category, and shelf pages. Format
bullet points with HTML. Example: - V-neck
- Studded details
- Loose
fit (Please enter text with 1000 character max)",,
shortDescription,Short Description *,"Overview of the key selling points of the item, marketing content, and
highlights in paragraph form. For SEO purposes, repeat the product
name and relevant keywords here. HTML is supported, and should be
used only for making paragraph breaks. Plain text is also acceptable;
it will render as a single paragraph. Example: The George - Girls'
Short Sleeve Polo Shirt will make a great addition to your daughter's
uniform wardrobe. This short-sleeved girls' shirt has a flat knit
collar and cuff for a comfortable fit. Plus, it's tagless, so your
daughter's skin won't be irritated by a scratchy tag.  This girls'
short sleeve polo is made from a cotton blend, and treated with
Scotchgard for stain protection. It has a two-button placket, an
extended back hem and vents on each side hem. The girls' polo shirt
is machine washable and very easy to maintain. (Please enter text with 1000 character max)",,
smallPartsWarning,Small Parts Warnings-Small Parts Warning (Optional),"Indicates type of choking hazard warning to show on the item
page.

Code definitions:
0 - Not Applicable
1 - Any ball with a
diameter of 1.75 inches (44.4mm) or less that is intended for use by
children 3 years or older
2 - Any toy or game intended for children 3
years or older but less than 8 years that contains a small ball
3 -
Any toy and game with small parts intended for use by children at
least 3 years old but under 6 years
4 - Any latex balloon, or toy or
game that contains a latex balloon
5 - Any marble intended for
children 3 years or older
6 - Any toy and game intended for children
at least 3 years old but less than 8 years which contains a marble
Example: 0; 1; 2; 3; 4; 5; 6 (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter the value)",,
swatchImageUrl,Swatch Image-Swatch Image Url (#3) (Optional),"URL of the color or pattern swatch image. This will be shown as a
small square on the item page. Recommended resolution is 100 x 100
pixels. URLs must begin with http:// or https:// Example:
http://www.walmart.com/swatch1.jpg (Please enter text with 2000 character max)",,
swatchVariantAttribute,Swatch Image-Swatch Variant Attribute (#3) (Optional),Attribute name corresponding to the swatch. Example: color; pattern (Please enter text with 4000 character max),,
systemOfMeasurement,System Of Measurement (Optional),Example: Metric; Imperial (Please enter text with 4000 character max),,
unit,Fluid Ounces-Unit (Optional),Example: 8 fl oz (Please select a value from the drop-down in the cell),,
unitsPerConsumerUnit,Units Per Consumer Unit (Optional),"Number of subunits contained in the unit.

Example: For a single
3-pack of T-shirts, where the T-shirts are packaged all together with
one barcode, enter ""1"" as the quantity. If the item for sale is two
3-packs of T-shirts, enter ""2."" Example: 1; 2 (Please enter the value)",,
variantAttributeName,Variant Attribute Names-Variant Attribute Name (Optional),"Designate all attributes by which the item is varying. This list may
include variants that the category spec has not explicitly
identified. 
Ex: If partner provides data for ""Collar Size,"" and
""Collar Size"" is not in the list of valid variants, then input
""Collar Size"" as a value here. Example: collarSize; color; shirtSize (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)",,
variantGroupId,Variant Group Id (Optional),"Required if item is a variant.
 
Make up a number for ""Variant Group
ID,"" and add this to all variations of the same product. Partners
must ensure uniqueness of their Variant Group IDs. (Please enter text with 20 character max)",,
warningText,Warning Text (Optional),"Text of the warning to accompany the item. Example: You must be 18 or
over to purchase this product. By purchasing this item you certify
that your are 18 years or older. (Please enter text with 4000 character max)",,
warrantyLength,Warranty Length (Optional),"The length of the warranty: if there are different lengths for
different areas of the warranty, state so. Example: 90 Days; 6 months
parts, twelve months labor (Please enter text with 4000 character max)",,
warrantyText,Warranty Text (Optional),"Text of the warranty terms, such as what's covered and length of
warranty. (Please enter text with 50000 character max)",,
warrantyURL,Warranty URL (Optional),"URL location of the Image, PDF, or link to the manufacturer's warranty
page, showing the warranty and its terms. URLs must begin with
http:// or https:// Example: http://www.walmart.com/warranty_info.pdf (Please enter text with 2000 character max)",,
